Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Brandon Doughty,MIA,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Geno Smith,NYG,QB,126,-0.01,0.03,-0.10,-0.05,0.02,0,0,7,1,1,0,0,1,0
Austin Davis,SEA,QB,126,-0.01,0.03,-0.10,-0.05,0.02,0,0,7,1,1,0,0,1,0
Chad Henne,JAX,QB,128,-0.04,0.10,-0.30,-0.14,0.06,0,0,7,1,1,0,0,1,0
Sean Mannion,LAR,QB,129,-0.05,0.07,-0.40,-0.12,0.02,0,0,5,3,1,0,0,1,0
Nick Foles,PHI,QB,130,-0.10,0.22,-0.90,-0.32,0.12,0,0,7,2,1,0,0,1,0
Todd Gurley,LAR,RB,1,23.43,10.02,187.40,13.40,33.45,6,1,0,1,2,1,7,0,1
Kareem Hunt,KC,RB,2,19.90,10.54,179.10,9.36,30.44,4,4,1,0,2,1,9,0,1
Ezekiel Elliott,DAL,RB,3,21.29,10.08,170.30,11.21,31.36,6,1,0,1,2,1,7,0,1
Le'Veon Bell,PIT,RB,4,20.11,8.07,160.90,12.04,28.18,5,2,0,1,2,1,7,0,1
Melvin Gordon,LAC,RB,5,19.26,11.00,154.10,8.26,30.26,5,1,0,2,2,1,6,0,1
Carlos Hyde,SF,RB,6,15.58,6.82,140.20,8.76,22.40,4,3,1,1,2,1,8,0,1
LeSean McCoy,BUF,RB,7,16.60,8.28,132.80,8.32,24.88,4,2,1,1,2,1,7,0,1
Chris Thompson,WAS,RB,8,16.43,8.65,131.40,7.77,25.08,5,1,1,1,2,1,7,0,1
Alvin Kamara,NO,RB,9,16.40,7.63,131.20,8.77,24.03,4,2,1,1,2,1,7,0,1
Leonard Fournette,JAX,RB,10,21.70,5.51,130.20,16.19,27.21,4,2,0,2,2,1,6,0,1
Christian McCaffrey,CAR,RB,11,14.32,5.16,128.90,9.16,19.49,3,4,2,0,2,1,9,0,1
Mark Ingram,NO,RB,12,15.29,6.79,122.30,8.50,22.07,3,1,4,0,2,1,8,0,1
Lamar Miller,HOU,RB,13,14.51,6.82,116.10,7.69,21.33,2,5,0,1,2,1,7,0,1
Devonta Freeman,ATL,RB,14,14.24,5.77,113.90,8.47,20.00,2,4,1,1,2,1,7,0,1
Javorius Allen,BAL,RB,15,12.62,5.34,113.60,7.28,17.96,3,1,3,2,2,1,7,0,1
Jordan Howard,CHI,RB,16,13.73,8.67,109.80,5.06,22.39,3,2,1,2,2,1,6,0,1
Duke Johnson Jr.,CLE,RB,17,13.00,6.28,104.00,6.72,19.28,3,1,2,2,2,1,6,0,1
Jerick McKinnon,MIN,RB,18,12.38,10.89,99.00,1.48,23.27,3,0,1,4,2,1,4,0,1
James White,NE,RB,19,12.19,4.25,97.50,7.94,16.44,2,3,2,1,2,1,7,0,1
Frank Gore,IND,RB,20,9.89,3.13,89.00,6.76,13.02,0,4,3,2,2,1,7,0,1
Matt Forte,NYJ,RB,21,12.47,6.78,87.30,5.69,19.25,1,4,0,4,2,1,5,0,1
Tarik Cohen,CHI,RB,22,10.88,6.47,87.00,4.40,17.35,1,2,3,2,2,1,6,0,1
Tevin Coleman,ATL,RB,23,10.70,4.33,85.60,6.37,15.03,0,3,4,1,2,1,7,0,1
Bilal Powell,NYJ,RB,24,10.38,7.52,83.00,2.86,17.89,1,0,6,2,2,1,7,0,1
C.J. Anderson,DEN,RB,25,10.16,8.73,81.30,1.43,18.89,1,1,3,3,2,1,5,0,1
DeMarco Murray,TEN,RB,26,10.08,5.43,80.60,4.64,15.51,2,1,3,2,2,1,6,0,1
Jay Ajayi,MIA,RB,27,9.86,3.45,78.90,6.41,13.32,0,4,2,2,2,1,6,0,1
Joe Mixon,CIN,RB,28,9.85,3.04,78.80,6.81,12.89,0,4,1,3,2,1,5,0,1
LeGarrette Blount,PHI,RB,29,8.54,4.93,76.90,3.61,13.48,0,4,2,3,2,1,6,0,1
Ty Montgomery,GB,RB,30,10.97,9.32,76.80,1.65,20.29,2,1,1,4,2,1,4,0,1
Chris Ivory,JAX,RB,31,9.33,5.70,74.60,3.63,15.02,1,1,2,4,2,1,4,0,1
Ameer Abdullah,DET,RB,32,9.31,4.62,74.50,4.70,13.93,1,1,2,4,2,1,4,0,1
Isaiah Crowell,CLE,RB,33,9.29,4.77,74.30,4.52,14.06,1,1,3,3,2,1,5,0,1
Theo Riddick,DET,RB,34,8.59,3.47,68.70,5.12,12.06,0,2,3,3,2,1,5,0,1
Marshawn Lynch,OAK,RB,35,7.41,6.41,66.70,1.00,13.82,1,2,1,5,2,1,4,0,1
Dalvin Cook,MIN,RB,36,16.35,7.29,65.40,9.06,23.64,2,0,2,4,2,1,4,0,1
Derrick Henry,TEN,RB,37,8.03,7.02,64.20,1.00,15.05,2,1,0,5,2,1,3,0,1
Aaron Jones,GB,RB,38,7.80,8.69,62.40,-0.89,16.49,2,0,1,5,2,0,3,0,0
Andre Ellington,ARI,RB,39,8.86,6.58,62.00,2.28,15.43,2,1,0,5,2,1,3,0,1
Marlon Mack,IND,RB,40,6.69,6.29,60.20,0.39,12.98,1,3,0,5,2,1,4,0,1
Jalen Richard,OAK,RB,41,6.57,5.33,59.10,1.23,11.90,1,1,1,6,2,1,3,0,1
Mike Gillislee,NE,RB,42,7.19,6.59,57.50,0.60,13.77,1,1,0,6,2,1,2,0,0
Adrian Peterson,ARI,RB,43,8.13,8.64,56.90,-0.51,16.77,2,0,0,5,2,0,2,0,0
DeAndre Washington,OAK,RB,44,6.21,6.47,55.90,-0.26,12.68,1,1,0,7,2,0,2,0,0
Corey Clement,PHI,RB,45,6.20,7.54,55.80,-1.34,13.74,1,0,2,6,2,0,3,0,0
